Query,Latitude,Longitude,Country,Province,City,Street,Also near,LLD - Legal land description,LSD - Legal subdivision,UWI - Unique well identifier,BC NTS grid,UTM - Universal transverse mercator,UTM - Universal transverse mercator,Well Name,Target Formation,Date,Reported To,Company
1-26-4-2 W2,49.321008,-102.166362,Canada,SK,Moose Creek,*Near* 603 HWY (7 km E),,1-SE-26-4-2-2,1-26-4-2 W2,,,13N 705912E 5467005N,"Zone 13, 705912 meters easting, 5467005 meters northing (Northern Hemisphere)",Legacy Alameda E Hz 1B1-23-3A10-14-4-2 W2M,Huntoon,"July 16-20, 2011",Bill Goods,Legacy Oil+Gas
9-15-4-2 W2,49.299126,-102.188772,Canada,SK,Moose Creek,*Near* 9 HWY (6 km W),,9-NE-15-4-2-2,9-15-4-2 W2,,,13N 704374E 5464512N,"Zone 13, 704374 meters easting, 5464512 meters northing (Northern Hemisphere)",Legacy Alameda E Hz 1D9-15-2D11-14-4-2 W2M,Huntoon,"July 25-30, 2011",Bill Goods,Legacy Oil+Gas
11-6-1-24 W1,49.008297,-100.67691,Canada,MB,Brenda,*Near* 21 HWY (9 km E),,11-NE-6-1-24 W1,11-6-1-24 W1,,,14N 377369E 5429733N,"Zone 14, 377369 meters easting, 5429733 meters northing (Northern Hemisphere)",ARC 104 WASKADA HZ B11-6-1-24 WPM,Spearfish,"July 31-Aug 5, 2011",Robert Taylor,ARC Resources
4-35-1-28 w1,49.075379,-101.119501,Canada,MB,Edward,*Near* 251 HWY (1.8 km S),,4-SE-35-1-28 W1,4-35-1-28 W1,,,14N 345213E 5437999N,"Zone 14, 345213 meters easting, 5437999 meters northing (Northern Hemisphere)",Legacy Pierson Hz 4C-35-1D-35-1-28 WPM,Spearfish,"Aug 7-11, 2011",Norm Wegerhoff,Legacy Oil+Gas
4-27-6-9 w2,49.495571,-103.147212,Canada,SK,Benson,705 Hwy,,4-SW-27-6-9-2,4-27-6-9 W2,,,13N 634164E 5484198N,"Zone 13, 634164 meters easting, 5484198 meters northing (Northern Hemisphere)",Painted Pony Viewfield HZ 2C4-27-1C2-28-6-9 W2,Bakken,"Aug 12-17, 2011",Bob Gerhardt,Painted Pony
16-22-2-29 w1,49.145566,-101.292589,Canada,MB,Edward,*Near* 256 HWY (3.0 km E),,16-NW-22-2-29 W1,16-22-2-29 W1,,,14N 332810E 5446168N,"Zone 14, 332810 meters easting, 5446168 meters northing (Northern Hemisphere)",Legacy Pierson Hz A16-22-2-29 WPM,Spearfish,"Aug 18-21, 2011",Norm Wegerhoff,Legacy Oil+Gas
11-11-1-24 w1,49.023347,-100.58722,Canada,MB,Brenda,*Near* 21 HWY (2.1 km E),,11-NE-11-1-24 W1,11-11-1-24 W1,,,14N 383963E 5431265N,"Zone 14, 383963 meters easting, 5431265 meters northing (Northern Hemisphere)",ARC Goodlands Hz 11-11-01-24 W1M,Spearfish,"Aug 23-27, 2011",Robert Taylor,ARC Resources
12-22-2-29 w1,49.141878,-101.276084,Canada,MB,Edward,*Near* 256 HWY (1.8 km E),,12-NE-22-2-29 W1,12-22-2-29 W1,,,14N 334001E 5445722N,"Zone 14, 334001 meters easting, 5445722 meters northing (Northern Hemisphere)",Legacy Pierson Hz 12B-22-9A-22-2-29 WPM,Spearfish,"Aug 27-Sept 1, 2011",Norm Wegerhoff,Legacy Oil+Gas
8-22-1-24 w1,49.049191,-100.620685,Canada,MB,Brenda,*Near* 21 HWY (4.6 km E),,8-SW-22-1-24 W1,8-22-1-24 W1,,,14N 381578E 5434189N,"Zone 14, 381578 meters easting, 5434189 meters northing (Northern Hemisphere)",ARC Waskada HZNTL 8-22-01-24 W1M,Spearfish,"Sept 4-11, 2011",Kevin Johnston/Robert Taylor,ARC Resources
5-34-11-6 w2,49.950735,-102.753456,Canada,SK,Hazelwood,*Near* 711 HWY (1.0 km N),,5-SW-34-11-6-2,5-34-11-6 W2,,,13N 661161E 5535572N,"Zone 13, 661161 meters easting, 5535572 meters northing (Northern Hemisphere)",Harvest Operations Moose Valley 2D5-34-1A1-33-11-6 W2M,Tilston,"Sept 12-16, 2011",Martin Kasserra,Harvest Operations
